City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,7.53,75,100,3.99,GS,1707371638
1,blackmans bay,-43.0167,147.3167,21.07,65,3,5.75,AU,1707371644
2,punta arenas,-53.15,-70.9167,9.06,66,0,13.38,CL,1707371654
3,wailua homesteads,22.0669,-159.378,22.44,77,20,8.23,US,1707371630
4,port-aux-francais,-49.35,70.2167,4.4,70,85,11.97,TF,1707371640
5,kodiak,57.79,-152.4072,0.73,80,0,3.09,US,1707371473
6,labuan,5.2767,115.2417,29.2,83,40,0.0,MY,1707371710
7,invercargill,-46.4,168.35,14.45,74,50,7.6,NZ,1707371651
8,port mathurin,-19.6833,63.4167,26.96,77,86,9.44,MU,1707371668
9,bethel,41.3712,-73.414,1.48,71,0,0.0,US,1707371358
10,talnakh,69.4865,88.3972,-25.02,88,24,1.99,RU,1707371678
11,keflavik,64.0049,-22.5624,-4.76,68,0,6.17,IS,1707371644
12,waitangi,-43.9535,-176.5597,18.23,84,100,0.45,NZ,1707371647
13,longyearbyen,78.2186,15.6401,-8.09,73,75,6.69,SJ,1707371712
14,victorica,-36.2151,-65.4359,22.27,77,61,5.63,AR,1707371713
15,port elizabeth,-33.918,25.5701,22.4,70,0,3.6,ZA,1707371511
16,bir el ater,34.7449,8.0602,7.26,52,1,2.18,DZ,1707371713
17,adamstown,-25.066,-130.1015,21.5,88,100,4.57,PN,1707371638
18,bredasdorp,-34.5322,20.0403,19.88,61,53,4.67,ZA,1707371649
19,ciudad lazaro cardenas,17.9583,-102.2,24.25,81,33,2.07,MX,1707371714
20,arraial do cabo,-22.9661,-42.0278,25.36,88,100,2.57,BR,1707371714
21,stanley,54.868,-1.6985,-1.79,92,99,1.71,GB,1707371652
22,ribeira grande,38.5167,-28.7,15.43,91,51,8.05,PT,1707371699
23,york,40.1254,-77.0,3.28,76,0,1.54,US,1707371447
24,luorong,24.4058,109.6086,6.07,73,98,4.79,CN,1707371715
25,tabas,33.5959,56.9244,14.22,18,0,1.44,IR,1707371716
26,iqaluit,63.7506,-68.5145,-21.15,65,0,2.57,CA,1707371667
27,ketchikan,55.3422,-131.6461,1.99,74,0,1.54,US,1707371696
28,whitehorse,60.7161,-135.0538,-17.88,80,75,1.03,CA,1707371644
29,nizhnyaya salda,58.0776,60.7202,-10.64,96,97,1.88,RU,1707371685
30,papao,-17.75,-149.55,28.82,90,98,16.89,PF,1707371661
31,utrik,11.2278,169.8474,26.39,85,93,9.34,MH,1707371697
32,saipan,15.1355,145.701,28.39,65,40,7.2,MP,1707371671
33,edinburgh of the seven seas,-37.0676,-12.3116,17.05,69,97,2.57,SH,1707371652
34,ussel,45.55,2.3167,7.16,97,100,2.28,FR,1707371718
35,constantia,44.1833,28.65,5.38,75,100,3.63,RO,1707371718
36,monroeville,40.4212,-79.7881,3.5,70,36,1.34,US,1707371718
37,mil'kovo,55.6078,37.7956,-12.73,96,81,3.88,RU,1707371719
38,coquimbo,-29.9533,-71.3436,18.85,94,100,1.54,CL,1707371419
39,uturoa,-16.7333,-151.4333,28.39,84,86,10.95,PF,1707371647
40,vetlanda,57.4289,15.0776,-4.19,95,100,1.25,SE,1707371720
41,okha,53.5739,142.9478,-16.92,91,96,4.57,RU,1707371720
42,hawaiian paradise park,19.5933,-154.9731,20.73,91,40,1.54,US,1707371720
43,minas de marcona,-15.2119,-75.1103,19.54,92,100,3.29,PE,1707371687
44,itoman,26.1247,127.6694,21.43,70,75,7.72,JP,1707371721
45,port alfred,-33.5906,26.891,21.77,76,8,2.68,ZA,1707371721
46,lebu,-37.6167,-73.65,13.81,79,98,7.92,CL,1707371722
47,yellowknife,62.456,-114.3525,-16.44,84,100,3.09,CA,1707371648
48,fortuna,40.5982,-124.1573,4.81,96,75,0.0,US,1707371722
49,nemuro,43.3236,145.575,-2.09,75,69,5.08,JP,1707371677
50,mammoth lakes,37.6485,-118.9721,-4.6,91,100,2.06,US,1707371723
51,puerto ayora,-0.7393,-90.3518,25.86,95,96,1.79,EC,1707371657
52,happy valley-goose bay,53.3168,-60.3315,-10.83,73,75,1.03,CA,1707371680
53,nar'yan-mar,67.6713,53.087,-13.27,95,100,4.92,RU,1707371724
54,araripina,-7.5761,-40.4983,25.2,53,94,2.37,BR,1707371724
55,kalawit,8.0667,122.5167,27.03,84,78,3.57,PH,1707371725
56,nykobing falster,54.7691,11.8743,1.16,93,82,0.89,DK,1707371725
57,kapuskasing,49.4169,-82.4331,1.0,93,100,2.57,CA,1707371698
58,lihue,21.9789,-159.3672,22.77,76,20,8.23,US,1707371624
59,anse la raye,13.9333,-61.0333,26.8,86,49,5.51,LC,1707371726
60,klyuchi,52.2667,79.1667,-1.94,78,15,5.91,RU,1707371688
61,kedougou,12.5579,-12.1743,25.6,14,100,1.95,SN,1707371726
62,north tonawanda,43.0387,-78.8642,1.25,75,0,2.06,US,1707371511
63,kingston,17.997,-76.7936,23.53,69,20,4.12,JM,1707371044
64,atafu village,-8.5421,-172.5159,28.53,80,100,6.44,TK,1707371631
65,kokshetau,53.2775,69.3883,-7.82,86,100,11.0,KZ,1707371728
66,albany,42.6001,-73.9662,-1.32,76,31,0.45,US,1707371666
67,bikenibeu village,1.3673,173.1241,28.99,80,91,7.41,KI,1707371728
68,lompoc,34.6391,-120.4579,8.94,78,100,7.6,US,1707371646
69,hermanus,-34.4187,19.2345,19.33,71,70,4.21,ZA,1707371729
70,afaahiti,-17.75,-149.2833,27.93,86,100,14.42,PF,1707371681
71,hithadhoo,-0.6,73.0833,27.7,76,90,3.76,MV,1707371692
72,nizhneudinsk,54.9076,99.0276,-5.95,80,43,1.47,RU,1707371730
73,leava,-14.3,-178.1667,29.27,80,99,8.51,WF,1707371730
74,kailua-kona,19.6406,-155.9956,24.98,81,75,2.06,US,1707371730
75,yeed,4.55,43.0333,28.76,50,5,8.94,SO,1707371731
76,taulaga,-11.0553,-171.0883,27.65,87,100,11.56,AS,1707371731
77,isafjordur,66.0755,-23.124,-8.18,75,2,1.73,IS,1707371645
78,remire-montjoly,4.9167,-52.2667,27.02,83,75,2.06,GF,1707371732
79,san pedro de jujuy,-24.2313,-64.8661,25.05,64,97,0.87,AR,1707371732
80,palikir - national government center,6.9248,158.1611,30.41,66,100,2.57,FM,1707371732
81,yerba buena,-26.8167,-65.3167,24.63,69,100,5.11,AR,1707371476
82,sarupathar,26.1984,93.8094,22.12,55,6,1.84,IN,1707371733
83,margaret river,-33.95,115.0667,25.82,47,0,3.19,AU,1707371655
84,divnogorsk,55.9594,92.3619,-11.73,79,90,1.81,RU,1707371670
85,kosh-agach,50.0,88.6667,-15.94,81,89,1.79,RU,1707371734
86,pundong,-7.9522,110.3486,29.96,66,28,3.3,ID,1707371734
87,iskateley,67.6803,53.1512,-13.32,95,100,4.92,RU,1707371647
88,timaru,-44.4,171.25,18.93,42,32,3.58,NZ,1707371562
89,west island,-12.1568,96.8225,27.99,89,75,5.14,CC,1707371617
90,badagry,6.4167,2.8833,23.3,62,14,0.42,NG,1707371735
91,big bear city,34.2611,-116.845,-1.06,94,100,3.6,US,1707371735
92,cananeia,-25.0147,-47.9267,23.82,91,67,0.37,BR,1707371736
93,severo-yeniseyskiy,60.3725,93.0408,-5.47,94,99,0.69,RU,1707371736
